INSTNM,ADDR,CITY,STABBR,ZIP,CHFNM,CHFTITLE,GENTELE,WEBADDR,APPLURL,LONGITUD,LATITUDE
Alabama A & M University,4900 Meridian Street,Normal,AL,35762,"Dr. Andrew Hugine, Jr.",President,2563725000,www.aamu.edu/,www.aamu.edu/Admissions/apply/Pages/default.aspx,-86.568502,34.783368
University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,Ray L. Watts,President,2059344011,www.uab.edu,ssb.it.uab.edu/pls/sctprod/zsapk003_ug_web_appl.create_page,-86.80917,33.50223
Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,Michael Turner,President,3.34388E+13,www.amridgeuniversity.edu,https://www.amridgeuniversity.edu/Amridge/login.aspx?ReturnUrl=%2fAmridge%2fStudent%2fFormChoice.aspx,-86.17401,32.362609
University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,Robert A. Altenkirch,President,2568246120,www.uah.edu,register.uah.edu,-86.63842,34.722818
Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,Gwen Boyd,President,3342294400,www.alasu.edu/email/index.aspx,psadmin.alasu.edu:8501/psp/paprd_1/EMPLOYEE/HRMS/c/ASU_SS_NONID_MENU.ASU_SS_ONL_SECURE.GBL?PORTALPARAM_PTCNAV=ASU_LK_ONLINEAPP&EOPP.SCNode=EMP,-86.295677,32.364317
University of Alabama System Office,401 Queen City Ave,Tuscaloosa,AL,35401,Robert Witt,Chancellor,2053489731,www.uasystem.ua.edu, ,-87.560858,33.212525
The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,Dr. Judith L. Bonner,President,2053486010,www.ua.edu/,apply.ua.edu,-87.545766,33.2144
Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,Susan Burrow,President,2562346346,www.cacc.edu, ,-85.94653,32.924429
Athens State University,300 N Beaty St,Athens,AL,35611,Robert Glenn,President,2562338100,www.athens.edu,www.athens.edu,-86.96514,34.805625
Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,John G. Veres III,Chancellor,3342443000,www.aum.edu,www.aum.edu/admissions/step-by-step-guide-to-apply,-86.177351,32.369939
Auburn University,"Auburn, Alabama",Auburn University,AL,36849,Jay Gogue,President,3348444000,www.auburn.edu,www.auburn.edu/admissions/,-85.492409,32.600201
